second,cpu-cpu_percent[0],cpu-iowtime[1],cpu-cpu_frequency[2],cpu-null[3],cpu-null[4],cpu-null[5],cpu0-cpu_percent[0],cpu0-iowtime[1],cpu0-cpu_frequency[2],cpu0-null[3],cpu0-null[4],cpu0-null[5],cpu1-cpu_percent[0],cpu1-iowtime[1],cpu1-cpu_frequency[2],cpu1-null[3],cpu1-null[4],cpu1-null[5],cpu2-cpu_percent[0],cpu2-iowtime[1],cpu2-cpu_frequency[2],cpu2-null[3],cpu2-null[4],cpu2-null[5],cpu3-cpu_percent[0],cpu3-iowtime[1],cpu3-cpu_frequency[2],cpu3-null[3],cpu3-null[4],cpu3-null[5],cpu4-cpu_percent[0],cpu4-iowtime[1],cpu4-cpu_frequency[2],cpu4-null[3],cpu4-null[4],cpu4-null[5],cpu5-cpu_percent[0],cpu5-iowtime[1],cpu5-cpu_frequency[2],cpu5-null[3],cpu5-null[4],cpu5-null[5],cpu6-cpu_percent[0],cpu6-iowtime[1],cpu6-cpu_frequency[2],cpu6-null[3],cpu6-null[4],cpu6-null[5],cpu7-cpu_percent[0],cpu7-iowtime[1],cpu7-cpu_frequency[2],cpu7-null[3],cpu7-null[4],cpu7-null[5],irqs,ctxt,processes,procs_running,procs_blocked,totalram,freeram,cached,Reserve01,Reserve02,Reserve03,Reserve04,Reserve05,Reserve06
12-9 18:1:0.123<185953.966581>,0,0,0,0,0,0,0,0,1200000,0,0,0,0,0,1200000,0,0,0,0,0,1200000,0,0,0,0,0,1200000,0,0,0,0,0,1600000,0,0,0,0,0,1600000,0,0,0,0,0,1600000,0,0,0,0,0,1600000,0,0,0,0,0,123682,13,0,2954296,1771828,1586748,0,0,0,0,0,0
12-9 18:1:1.133<185954.968833>,65,0,0,0,0,0,100,0,1200000,0,0,0,100,1,1200000,0,0,0,99,0,1200000,0,0,0,100,0,1200000,0,0,0,44,1,768000,0,0,0,27,1,768000,0,0,0,23,1,768000,0,0,0,24,2,768000,0,0,0,14274,20228,123758,7,0,2954296,1763536,1587468,0,0,0,0,0,0
12-9 18:1:2.135<185955.970852>,49,0,0,0,0,0,87,0,1200000,0,0,0,85,0,1200000,0,0,0,91,0,1200000,0,0,0,95,0,1200000,0,0,0,21,0,768000,0,0,0,3,0,768000,0,0,0,5,0,768000,0,0,0,0,0,768000,0,0,0,0,0,123802,2,0,2954296,1764064,1587732,0,0,0,0,0,0
12-9 18:1:3.138<185956.973930>,31,0,0,0,0,0,71,0,1200000,0,0,0,59,0,1200000,0,0,0,68,0,1200000,0,0,0,40,0,1200000,0,0,0,5,0,768000,0,0,0,2,0,768000,0,0,0,3,0,768000,0,0,0,0,0,768000,0,0,0,6063,7888,123823,3,0,2954296,2080220,1587720,0,0,0,0,0,0
12-9 18:1:4.140<185957.976231>,19,0,0,0,0,0,47,0,768000,0,0,0,46,0,768000,0,0,0,29,0,768000,0,0,0,31,0,1200000,0,0,0,0,0,768000,0,0,0,0,0,768000,0,0,0,0,0,768000,0,0,0,0,0,768000,0,0,0,0,0,123824,2,0,2954296,2081300,1587844,0,0,0,0,0,0
12-9 18:1:5.143<185958.978913>,12,0,0,0,0,0,20,0,768000,0,0,0,18,0,768000,0,0,0,17,0,768000,0,0,0,13,0,768000,0,0,0,13,0,768000,0,0,0,9,0,768000,0,0,0,4,0,768000,0,0,0,2,0,768000,0,0,0,3792,5109,123835,1,0,2954296,2080780,1587844,0,0,0,0,0,0
12-9 18:1:6.146<185959.982296>,2,0,0,0,0,0,6,0,768000,0,0,0,4,0,768000,0,0,0,3,0,768000,0,0,0,2,0,768000,0,0,0,0,0,768000,0,0,0,0,0,768000,0,0,0,0,0,768000,0,0,0,0,0,768000,0,0,0,0,0,123837,1,0,2954296,2080324,1587936,0,0,0,0,0,0
12-9 18:1:7.150<185960.986386>,10,0,0,0,0,0,19,0,1200000,0,0,0,15,0,1200000,0,0,0,11,0,1200000,0,0,0,12,0,1200000,0,0,0,12,0,1600000,0,0,0,6,0,1600000,0,0,0,0,0,1600000,0,0,0,1,0,1600000,0,0,0,3072,3905,123839,11,0,2954296,2079680,1587936,0,0,0,0,0,0
12-9 18:1:8.156<185961.991667>,16,0,0,0,0,0,28,0,1200000,0,0,0,26,0,1200000,0,0,0,18,0,1200000,0,0,0,17,0,1200000,0,0,0,20,0,1600000,0,0,0,11,0,1600000,0,0,0,3,0,1600000,0,0,0,4,0,1600000,0,0,0,0,0,123842,1,0,2954296,2062808,1588044,0,0,0,0,0,0
12-9 18:1:9.158<185962.993650>,9,0,0,0,0,0,19,0,1200000,0,0,0,15,0,1200000,0,0,0,10,0,1200000,0,0,0,9,0,1200000,0,0,0,15,0,768000,0,0,0,2,0,768000,0,0,0,0,0,1400000,0,0,0,0,0,1400000,0,0,0,3323,4070,123842,2,0,2954296,2053076,1588068,0,0,0,0,0,0
12-9 18:1:10.160<185963.996287>,20,0,0,0,0,0,35,0,1200000,0,0,0,22,0,1200000,0,0,0,25,0,1200000,0,0,0,18,0,1200000,0,0,0,28,0,1600000,0,0,0,15,0,1600000,0,0,0,14,0,1600000,0,0,0,0,0,1600000,0,0,0,0,0,123863,3,0,2954296,2047572,1588084,0,0,0,0,0,0
12-9 18:1:11.163<185964.998703>,15,0,0,0,0,0,8,0,1200000,0,0,0,8,0,1200000,0,0,0,2,0,1200000,0,0,0,1,0,1200000,0,0,0,97,0,1600000,0,0,0,0,0,1600000,0,0,0,3,0,1600000,0,0,0,0,0,1600000,0,0,0,1783,1823,123863,3,0,2954296,2035484,1588344,0,0,0,0,0,0
12-9 18:1:12.165<185966.001236>,12,0,0,0,0,0,21,0,768000,0,0,0,20,0,768000,0,0,0,13,0,768000,0,0,0,12,0,768000,0,0,0,19,0,768000,0,0,0,8,0,768000,0,0,0,0,0,768000,0,0,0,0,0,768000,0,0,0,0,0,123870,1,0,2954296,2057220,1588340,0,0,0,0,0,0
12-9 18:1:13.168<185967.004385>,19,0,0,0,0,0,33,0,1200000,0,0,0,25,0,1200000,0,0,0,15,0,1200000,0,0,0,15,0,1200000,0,0,0,38,0,1600000,0,0,0,11,0,1600000,0,0,0,16,0,1600000,0,0,0,0,0,1600000,0,0,0,5945,8196,123891,2,0,2954296,2039076,1588376,0,0,0,0,0,0
12-9 18:1:14.170<185968.006332>,16,0,0,0,0,0,11,0,1200000,0,0,0,6,0,1200000,0,0,0,5,0,1200000,0,0,0,4,0,1200000,0,0,0,91,0,1600000,0,0,0,6,0,1600000,0,0,0,2,0,1600000,0,0,0,0,0,1600000,0,0,0,0,0,123894,8,0,2954296,2034676,1588408,0,0,0,0,0,0
12-9 18:1:15.172<185969.008471>,22,0,0,0,0,0,28,0,768000,0,0,0,19,0,768000,0,0,0,19,0,768000,0,0,0,15,0,768000,0,0,0,43,0,768000,0,0,0,43,0,768000,0,0,0,5,0,768000,0,0,0,0,0,768000,0,0,0,4855,5990,123894,1,0,2954296,2030972,1588408,0,0,0,0,0,0
